REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGTITUDE,RADIUSSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
160120221, , , , ,-7916909.49238459,5203177.601707826, , , , ,1/12/2016,3:37:00 PM, , ,05/06/2017 14:44:53, , ,mv
160120251, , , , ,-7919095.361905809,5202572.915909013, , , , ,1/12/2016,4:43:32 PM, , ,05/06/2017 14:44:53, , ,ped
160120264, , , , ,-7910410.994470551,5214760.138272449, , , , ,1/12/2016,5:12:46 PM, , ,05/06/2017 14:44:53, , ,ped
160120264, , , , ,-7910410.994470551,5214760.138272449, , , , ,1/12/2016,5:13:43 PM, , ,05/06/2017 14:44:53, , ,ped
160120279, , , , ,-7914814.682206843,5212980.728445827, , , , ,1/12/2016,6:03:25 PM, , ,05/06/2017 14:44:53, , ,bike
160120314, , , , ,-7911349.195138957,5210878.193211027, , , , ,1/12/2016,8:05:42 PM, , ,05/06/2017 14:44:53, , ,ped
160130042, , , , ,-7911906.905787832,5206279.12217721, , , , ,1/13/2016,5:19:00 AM, , ,05/06/2017 14:44:53, , ,mv
160130061, , , , ,-7917287.978653288,5202720.209543617, , , , ,1/13/2016,7:10:00 AM, , ,05/06/2017 14:44:53, , ,mv
160130065, , , , ,-7914029.768477259,5205257.660295195, , , , ,1/13/2016,7:39:00 AM, , ,05/06/2017 14:44:53, , ,mv
160130073, , , , ,-7911958.446712069,5206019.043050001, , , , ,1/13/2016,8:06:05 AM, , ,05/06/2017 14:44:53, , ,ped
160130132, , , , ,-7913242.071760407,5210325.716988092, , , , ,1/13/2016,11:37:00 AM, , ,05/06/2017 14:44:53, , ,mv
160130138, , , , ,-7908022.746115074,5216721.295845335, , , , ,1/13/2016,11:55:51 AM, , ,05/06/2017 14:44:53, , ,ped
160130156, , , , ,-7908611.292262897,5211368.657679383, , , , ,1/13/2016,12:49:00 PM, , ,05/06/2017 14:44:53, , ,mv
160130228, , , , ,-7910044.419387369,5215094.878824844, , , , ,1/13/2016,4:30:45 PM, , ,05/06/2017 14:44:53, , ,ped
160130242, , , , ,-7912004.199022785,5211755.385062216, , , , ,1/13/2016,5:11:29 PM, , ,05/06/2017 14:44:53, , ,ped
160130243, , , , ,-7908852.632918936,5205518.772020014, , , , ,1/13/2016,5:12:00 PM, , ,05/06/2017 14:44:53, , ,mv
160130272, , , , ,-7917229.758559603,5200381.685545703, , , , ,1/13/2016,6:42:28 PM, , ,05/06/2017 14:44:53, , ,ped
160140036, , , , ,-7911721.892794134,5209242.842634669, , , , ,1/14/2016,4:47:00 AM, , ,05/06/2017 14:44:53, , ,mv
160140041, , , , ,-7910902.470022405,5211348.327821637, , , , ,1/14/2016,5:37:00 AM, , ,05/06/2017 14:44:53, , ,mv
160140098, , , , ,-7917016.470415244,5205165.859034812, , , , ,1/14/2016,10:19:00 AM, , ,05/06/2017 14:44:53, , ,mv
160140180, , , , ,-7912400.162451537,5204434.039144331, , , , ,1/14/2016,2:22:00 PM, , ,05/06/2017 14:44:53, , ,mv
160140278, , , , ,-7910888.443766563,5213808.105637283, , , , ,1/14/2016,6:31:15 PM, , ,05/06/2017 14:44:53, , ,ped
160140286, , , , ,-7912242.311413593,5210729.7186474055, , , , ,1/14/2016,6:46:00 PM, , ,05/06/2017 14:44:53, , ,mv
160140328, , , , ,-7912080.007596016,5209966.300999038, , , , ,1/14/2016,9:01:00 PM, , ,05/06/2017 14:44:53, , ,mv
160140335, , , , ,-7911676.58576138,5213357.731150545, , , , ,1/14/2016,9:33:59 PM, , ,05/06/2017 14:44:53, , ,ped
160150101, , , , ,-7911289.750530873,5204460.373447213, , , , ,1/15/2016,9:43:00 AM, , ,05/06/2017 14:44:53, , ,mv
160150130, , , , ,-7913369.0872994,5203252.080481606, , , , ,1/15/2016,11:22:00 AM, , ,05/06/2017 14:44:53, , ,mv
160150131, , , , ,-7915090.3092660485,5207362.560989161, , , , ,1/15/2016,11:19:00 AM, , ,05/06/2017 14:44:53, , ,mv
160150258, , , , ,-7912595.973435843,5213527.334546133, , , , ,1/15/2016,4:51:53 PM, , ,05/06/2017 14:44:53, , ,ped
160150267, , , , ,-7913460.03532338,5205257.961284397, , , , ,1/15/2016,5:18:00 PM, , ,05/06/2017 14:44:53, , ,mv
160160036, , , , ,-7909720.813627634,5214170.529560276, , , , ,1/16/2016,2:10:00 AM, , ,05/06/2017 14:44:53, , ,mv
160160042, , , , ,-7914436.752535598,5212783.723015978, , , , ,1/16/2016,2:22:17 AM, , ,05/06/2017 14:44:53, , ,ped
160160065, , , , ,-7909799.627827116,5215465.788797007, , , , ,1/16/2016,3:30:00 AM, , ,05/06/2017 14:44:53, , ,mv
